route,weight_cur,weight_prev,weight_xl,weight_lp,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p35_wprev0p15_wxl0p45_wlp0p05_raw,0.35,0.15,0.45,0.05,,0.0,0.0,1.0,hard,37.578065225644465,0.998703122138977,0.9883368760347366,0.026777702383697033,45.49340230578041,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p45_wlp0p05_raw.csv
wcur0p3_wprev0p2_wxl0p425_wlp0p075_raw,0.3,0.2,0.425,0.075,,0.0,0.0,1.0,hard,37.577371130192375,0.998703733086586,0.9883280694484711,0.026788592105731368,45.49267248339737,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p2_wxl0p425_wlp0p075_raw.csv
wcur0p4_wprev0p1_wxl0p45_wlp0p05_raw,0.4,0.1,0.45,0.05,,0.0,0.0,1.0,hard,37.576720276706745,0.9987019449472427,0.9883357435464859,0.02678334852680564,45.49203673642956,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p45_wlp0p05_raw.csv
wcur0p35_wprev0p15_wxl0p425_wlp0p075_raw,0.35,0.15,0.425,0.075,,0.0,0.0,1.0,hard,37.576252608244005,0.9987029284238815,0.9883270412683487,0.026794256176799536,45.49153574897039,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p425_wlp0p075_raw.csv
wcur0p25_wprev0p25_wxl0p4_wlp0p1_raw,0.25,0.25,0.4,0.1,,0.0,0.0,1.0,hard,37.576212005538494,0.9987041056156158,0.9883186221122742,0.02680053631775081,45.491472810821236,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p4_wlp0p1_raw.csv
wcur0p3_wprev0p2_wxl0p4_wlp0p1_raw,0.3,0.2,0.4,0.1,,0.0,0.0,1.0,hard,37.575320396940505,0.9987037628889084,0.9883177280426025,0.02680481504648924,45.49056880026618,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p2_wxl0p4_wlp0p1_raw.csv
wcur0p4_wprev0p1_wxl0p425_wlp0p075_raw,0.4,0.1,0.425,0.075,,0.0,0.0,1.0,hard,37.574904114834666,0.9987023919820786,0.988325908780098,0.026798037579283118,45.49017420912877,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p425_wlp0p075_raw.csv
wcur0p35_wprev0p15_wxl0p4_wlp0p1_raw,0.35,0.15,0.4,0.1,,0.0,0.0,1.0,hard,37.57419908929441,0.9987035393714905,0.988316684961319,0.02681082207709551,45.4894320512918,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p4_wlp0p1_raw.csv
wcur0p4_wprev0p1_wxl0p4_wlp0p1_raw,0.4,0.1,0.4,0.1,,0.0,0.0,1.0,hard,37.57284757868009,0.9987025856971741,0.9883155226707458,0.026817969977855682,45.488058198248915,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p4_wlp0p1_raw.csv
wcur0p25_wprev0p25_wxl0p35_wlp0p15_raw,0.25,0.25,0.35,0.15,,0.0,0.0,1.0,hard,37.57139678592339,0.9987040311098099,0.988296240568161,0.02682500798255205,45.48656343775347,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p35_wlp0p15_raw.csv
wcur0p3_wprev0p2_wxl0p35_wlp0p15_raw,0.3,0.2,0.35,0.15,,0.0,0.0,1.0,hard,37.57049908135893,0.9987036734819412,0.9882953315973282,0.026831958442926407,45.48564786855938,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p2_wxl0p35_wlp0p15_raw.csv
