route,weight_cur,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p5_wsst0p5_raw,0.5,0.5,,0.0,0.0,1.0,hard,33.98989935155472,0.9980039750536283,0.977558588484923,0.04606981197866844,41.84090075488899,experiments/router_metrics_20260512/hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p5_wsst0p5_raw.csv
wcur0p55_wsst0p45_raw,0.55,0.45,,0.0,0.0,1.0,hard,33.989202808021325,0.9980023498336474,0.9775435288747152,0.046023679805997135,41.84025660516065,experiments/router_metrics_20260512/hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p55_wsst0p45_raw.csv
wcur0p45_wsst0p55_raw,0.45,0.55,,0.0,0.0,1.0,hard,33.98793396126373,0.9980045974254608,0.977561296025912,0.046112559792527465,41.83885901828326,experiments/router_metrics_20260512/hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p45_wsst0p55_raw.csv
wcur0p6_wsst0p4_raw,0.6,0.4,,0.0,0.0,1.0,hard,33.985855919213144,0.9979997257391612,0.9775161395470301,0.04597224414076966,41.83694206446063,experiments/router_metrics_20260512/hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p6_wsst0p4_raw.csv
wcur0p4_wsst0p6_raw,0.4,0.6,,0.0,0.0,1.0,hard,33.983301464711836,0.9980041926105817,0.9775517245133718,0.04614947309455601,41.83413112321296,experiments/router_metrics_20260512/hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p4_wsst0p6_raw.csv
