route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p35_wm0p1_raw_g1p015_k1p002,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.002,0.0,35.85277936158069,0.9985923320055008,0.9882552474737167,0.02702654292806983,43.766790762704986,
wa0p55_wb0p35_wm0p1_raw_g0p985_k0p998,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,0.998,0.0,35.828737751701226,0.9986065775156021,0.9882631301879883,0.027092713862657547,43.7427180494455,
wa0p6_wb0p35_wm0p05_raw_g0p985_k0p998,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,0.998,0.0,35.8268340739164,0.9986003041267395,0.9882570058107376,0.02657233108766377,43.741805248122986,
wa0p6_wb0p35_wm0p05_raw_g1p015_k0p998_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,0.001,35.629945022942515,0.9983611702919006,0.9882500469684601,0.026568315690383315,43.54347550725007,
wa0p55_wb0p35_wm0p1_raw_g1p015_k0p998_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,0.001,35.62368408012005,0.9983690828084946,0.9882549941539764,0.02708635525777936,43.53623585476341,
wa0p55_wb0p35_wm0p1_raw_g0p985_k1p002_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,-0.001,35.57800225911614,0.9986115396022797,0.9882658571004868,0.027043035719543695,43.492117139491704,
wa0p6_wb0p35_wm0p05_raw_g0p985_k1p002_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,-0.001,35.57602717287075,0.9986063241958618,0.9882599860429764,0.026529574068263173,43.49112594199535,
wa0p6_wb0p35_wm0p05_raw_g1p015,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.0,0.0,35.539880267653,0.9985639899969101,0.9882482588291168,0.026560083962976933,43.45464055736674,
wa0p55_wb0p35_wm0p1_raw_g1p015,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.0,0.0,35.53392906040932,0.9985685646533966,0.9882532805204391,0.02707659499719739,43.447693819376184,
wa0p55_wb0p35_wm0p1_raw_g0p985,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.0,0.0,35.50148314407857,0.9985813349485397,0.9882631897926331,0.027083493303507566,43.41533054674806,
wa0p6_wb0p35_wm0p05_raw_g0p985,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.0,0.0,35.49979280170787,0.9985744059085846,0.9882570505142212,0.026565987151116133,43.41462136388559,
wa0p6_wb0p35_wm0p05_raw_g1p015_k1p002_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.002,-0.001,35.44491825918789,0.9985243082046509,0.9882436990737915,0.02654736116528511,43.359456784232805,
wa0p55_wb0p35_wm0p1_raw_g1p015_k1p002_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.002,-0.001,35.439211319975726,0.9985269457101822,0.9882487803697586,0.027061834232881665,43.35274688651057,
wa0p55_wb0p35_wm0p1_raw_g0p985_k0p998_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,0.998,0.001,35.419742066550974,0.9982848763465881,0.9882601946592331,0.02711436292156577,43.33174298810584,
wa0p6_wb0p35_wm0p05_raw_g0p985_k0p998_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,0.998,0.001,35.41840694087692,0.9982737153768539,0.9882542341947556,0.026592633686959743,43.331372434153636,
wa0p6_wb0p35_wm0p05_raw_g1p015_k0p998,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,0.0,35.23323354183388,0.9985352009534836,0.9882481694221497,0.026604812825098634,43.147731460748886,
wa0p55_wb0p35_wm0p1_raw_g1p015_k0p998,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,0.0,35.22721338986911,0.9985395222902298,0.9882533103227615,0.027125348336994648,43.14070644758202,
wa0p55_wb0p35_wm0p1_raw_g0p985_k1p002,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,0.0,35.187326891069986,0.9985533654689789,0.9882611632347107,0.027076384518295527,43.10101664131669,
wa0p6_wb0p35_wm0p05_raw_g0p985_k1p002,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,0.0,35.18579922912675,0.9985469281673431,0.9882552176713943,0.02656098874285817,43.10046925598788,
wa0p6_wb0p35_wm0p05_raw_g1p015_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.0,-0.001,35.149447995534246,0.9984914809465408,0.9882424473762512,0.026595148257911205,43.06369147945017,
wa0p55_wb0p35_wm0p1_raw_g1p015_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,1.0,-0.001,35.14367780961024,0.9984943270683289,0.9882474094629288,0.02711187954992056,43.05691483184623,
wa0p55_wb0p35_wm0p1_raw_g0p985_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.0,0.001,35.1157945546501,0.9982578158378601,0.9882596582174301,0.027110065799206495,43.02764063451371,
wa0p6_wb0p35_wm0p05_raw_g0p985_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.0,0.001,35.114564626628706,0.9982466548681259,0.9882537573575974,0.02658986020833254,43.02737235013599,
wa0p6_wb0p35_wm0p05_raw_g1p015_k0p998_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,-0.001,34.86314804703597,0.9984541535377502,0.9882423728704453,0.02664993330836296,42.77705784738664,
wa0p55_wb0p35_wm0p1_raw_g1p015_k0p998_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.015,0.998,-0.001,34.85733797837793,0.9984571784734726,0.9882474541664124,0.027169895125553012,42.77023616730048,
wa0p55_wb0p35_wm0p1_raw_g0p985_k1p002_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,0.001,34.8227529135125,0.9982131868600845,0.9882557392120361,0.027106296736747026,42.73433091962359,
wa0p6_wb0p35_wm0p05_raw_g0p985_k1p002_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.985,1.002,0.001,34.821591797189335,0.9982023239135742,0.9882501065731049,0.026593128219246864,42.734119697378496,
