route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p95_raw,0.95,,0.0,0.0,1.0,hard,37.580374620552135,0.9986790269613266,0.9882542341947556,0.026283740997314453,45.49638976871498,experiments/router_metrics_20260512/hat_tta_haffir_imagenet_x2_fixedsmoke4/a0p95_raw.csv
a0p9_raw,0.9,,0.0,0.0,1.0,hard,37.580966086738826,0.9986841827630997,0.9882419556379318,0.02659640950150788,45.49636227559027,experiments/router_metrics_20260512/hat_tta_haffir_imagenet_x2_fixedsmoke4/a0p9_raw.csv
a0p975_raw,0.975,,0.0,0.0,1.0,hard,37.57879200692635,0.9986757040023804,0.9882564693689346,0.0261292674113065,45.49510063485589,experiments/router_metrics_20260512/hat_tta_haffir_imagenet_x2_fixedsmoke4/a0p975_raw.csv
a1_raw,1.0,,0.0,0.0,1.0,hard,37.57635613751946,0.9986733794212341,0.9882562756538391,0.025979325640946627,45.49295031407265,experiments/router_metrics_20260512/hat_tta_haffir_imagenet_x2_fixedsmoke4/a1_raw.csv
a0p85_raw,0.85,,0.0,0.0,1.0,hard,37.5781275344857,0.9986884146928787,0.9882195293903351,0.02691912674345076,45.49285882793674,experiments/router_metrics_20260512/hat_tta_haffir_imagenet_x2_fixedsmoke4/a0p85_raw.csv
