route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,37.59621709211311,0.9987029433250427,0.9882632195949554,0.026637823786586523,45.5116855436801,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p55_wb0p375_wm0p075_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,37.59544330298022,0.998699888586998,0.9882659167051315,0.02641141344793141,45.51135164101661,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p6_wb0p35_wm0p05_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,37.59578116715088,0.9987024217844009,0.9882632791996002,0.026639654766768217,45.51124294672295,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p575_wb0p35_wm0p075_raw.csv
wa0p65_wb0p3_wm0p05_raw,0.65,0.3,0.05,,0.0,0.0,1.0,hard,37.594307084342375,0.9986981153488159,0.9882657825946808,0.026416184846311808,45.51019497193201,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p65_wb0p3_wm0p05_raw.csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,0.0,0.0,1.0,hard,37.594616379300774,0.9987045973539352,0.9882566332817078,0.02687107352539897,45.509615082937,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p55_wb0p35_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,37.593669274712056,0.9987038969993591,0.9882566332817078,0.026875211857259274,45.50865549955711,experiments/router_metrics_20260512/hat_hat_mambairv2_base_notta_smoke4/wa0p6_wb0p3_wm0p1_raw.csv
