route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,37.60552807514438,0.9987002164125443,0.9882952570915222,0.026478765066713095,45.52136235766926,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p55_wb0p35_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,blend,0.0,37.60456580023562,0.998698890209198,0.988295242190361,0.02648562239482999,45.52037838108187,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p6_wb0p3_wm0p1_raw.csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,blend,0.0,37.603510727577465,0.9986992031335831,0.9882899820804596,0.026348628802224994,45.51958865293543,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p55_wb0p375_wm0p075_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,blend,0.0,37.603069070148095,0.998698502779007,0.9882900565862656,0.026349653955549,45.51914089208357,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p575_wb0p35_wm0p075_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,37.599697685102015,0.998696893453598,0.9882824271917343,0.02622206136584282,45.515999777475386,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p6_wb0p35_wm0p05_raw.csv
wa0p85_wb0_wm0p15_raw,0.85,0.0,0.15,,0.0,0.0,1.0,hard,blend,0.0,37.597488364259654,0.9986828565597534,0.9882957637310028,0.026765603106468916,45.51264582486724,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p85_wb0_wm0p15_raw.csv
wa0p9_wb0_wm0p1_raw,0.9,0.0,0.1,,0.0,0.0,1.0,hard,blend,0.0,37.59405034064419,0.998680979013443,0.988292321562767,0.026497830403968692,45.50972519704244,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p9_wb0_wm0p1_raw.csv
wa0p65_wb0p35_wm0_raw,0.65,0.35,0.0,,0.0,0.0,1.0,hard,blend,0.0,37.590293022301736,0.9986919164657593,0.9882600456476212,0.02597163920290768,45.50702133398572,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_fixedsmoke4/wa0p65_wb0p35_wm0_raw.csv
