route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p05_watd0p025_raw,0.55,0.375,0.05,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60188259636975,0.9987020641565323,0.9882829338312149,0.02665847772732377,45.517343893516724,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p55_wb0p375_wm0p05_watd0p025_raw.csv
wa0p525_wb0p375_wm0p075_watd0p025_raw,0.525,0.375,0.075,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60232349806127,0.9987054020166397,0.9882847666740417,0.026918729534372687,45.51728798444044,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p525_wb0p375_wm0p075_watd0p025_raw.csv
wa0p53_wb0p375_wm0p075_watd0p02_raw,0.53,0.375,0.075,0.02,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60203363647607,0.9987047910690308,0.9882850646972656,0.02687939116731286,45.51707372995016,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p53_wb0p375_wm0p075_watd0p02_raw.csv
wa0p55_wb0p375_wm0p055_watd0p02_raw,0.55,0.375,0.055,0.02,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.601611070960026,0.998701885342598,0.9882834404706955,0.026669052429497242,45.51705115909801,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p55_wb0p375_wm0p055_watd0p02_raw.csv
wa0p55_wb0p35_wm0p075_watd0p025_raw,0.55,0.35,0.075,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60189333265197,0.9987047463655472,0.9882847815752029,0.026922383345663548,45.51684660730433,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p55_wb0p35_wm0p075_watd0p025_raw.csv
wa0p55_wb0p355_wm0p075_watd0p02_raw,0.55,0.355,0.075,0.02,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.601687213367406,0.9987044483423233,0.988285094499588,0.02688049664720893,45.516723099126104,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p55_wb0p355_wm0p075_watd0p02_raw.csv
wa0p55_wb0p375_wm0p075_watd0_raw,0.55,0.375,0.075,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60032120598472,0.9987027049064636,0.9882848858833313,0.026718052569776773,45.51567110205061,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_fixedsmoke4/wa0p55_wb0p375_wm0p075_watd0_raw.csv
