route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p85_raw,0.85,,0.0,0.0,1.0,hard,37.595552744582456,0.9986864626407623,0.9883166700601578,0.026254263008013368,45.51179633453132,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p85_raw.csv
a0p8_raw,0.8,,0.0,0.0,1.0,hard,37.59413596983685,0.9986888468265533,0.9883150309324265,0.026344467885792255,45.51021017688944,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p8_raw.csv
a0p75_raw,0.75,,0.0,0.0,1.0,hard,37.58877410851938,0.9986910074949265,0.9883023500442505,0.026431549806147814,45.504661753965145,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p75_raw.csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,37.57949464398181,0.9986919909715652,0.9882782399654388,0.026521144434809685,45.49516078087246,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p7_raw.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,37.56633347739908,0.9986921548843384,0.9882428050041199,0.02661006199195981,45.48175189272943,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p65_raw.csv
a0p6_raw,0.6,,0.0,0.0,1.0,hard,37.54933619051917,0.9986912608146667,0.9881965219974518,0.02670153696089983,45.464473725480275,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p6_raw.csv
a0p55_raw,0.55,,0.0,0.0,1.0,hard,37.52856731762502,0.9986894577741623,0.9881391823291779,0.026786003028973937,45.4434104228704,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p55_raw.csv
a0p5_raw,0.5,,0.0,0.0,1.0,hard,37.50409090345291,0.9986870139837265,0.988070622086525,0.026870039524510503,45.4186141524793,experiments/hat_sstlarge_plus_dflip_tta_smoke4_20260512/a0p5_raw.csv
