route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p99_raw,0.99,,0.0,0.0,1.0,hard,37.5768205129441,0.9986753016710281,0.9882564395666122,0.026062336284667253,45.49326052953416,experiments/router_metrics_20260512/hat_tta_irsrmamba_smoke4/a0p99_raw.csv
a1_raw,1.0,,0.0,0.0,1.0,hard,37.57635613751946,0.9986733794212341,0.9882562756538391,0.025979325640946627,45.49295031407265,experiments/router_metrics_20260512/hat_tta_irsrmamba_smoke4/a1_raw.csv
a0p975_raw,0.975,,0.0,0.0,1.0,hard,37.57603369796193,0.9986768364906311,0.9882524162530899,0.026184013346210122,45.49223152271948,experiments/router_metrics_20260512/hat_tta_irsrmamba_smoke4/a0p975_raw.csv
a0p95_raw,0.95,,0.0,0.0,1.0,hard,37.57075192505915,0.9986756145954132,0.9882344007492065,0.026371265295892954,45.486531883538255,experiments/router_metrics_20260512/hat_tta_irsrmamba_smoke4/a0p95_raw.csv
a0p9_raw,0.9,,0.0,0.0,1.0,hard,37.54503969314128,0.9986551851034164,0.988154336810112,0.026715867687016726,45.459847742007966,experiments/router_metrics_20260512/hat_tta_irsrmamba_smoke4/a0p9_raw.csv
