route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,37.599544309535055,0.9987047016620636,0.9882895797491074,0.026987264398485422,45.51437715020868,experiments/router_metrics_20260511/hat_hat_mambairv2_large_notta_post_smoke4/wa0p6_wb0p3_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_cubic_b0005,0.6,0.3,0.1,cubic,0.005,0.0,1.0,hard,37.599339897447315,0.9987057000398636,0.9882896393537521,0.027147240936756134,45.51385889452049,experiments/router_metrics_20260511/hat_hat_mambairv2_large_notta_post_smoke4/wa0p6_wb0p3_wm0p1_cubic_b0005.csv
wa0p6_wb0p3_wm0p1_cubic_b001,0.6,0.3,0.1,cubic,0.01,0.0,1.0,hard,37.59852147535776,0.9987058788537979,0.9882879555225372,0.027313420549035072,45.51270581842755,experiments/router_metrics_20260511/hat_hat_mambairv2_large_notta_post_smoke4/wa0p6_wb0p3_wm0p1_cubic_b001.csv
wa0p6_wb0p3_wm0p1_cubic_b0015,0.6,0.3,0.1,cubic,0.015,0.0,1.0,hard,37.59706953823216,0.9987057745456696,0.9882842898368835,0.027481409022584558,45.51090994713478,experiments/router_metrics_20260511/hat_hat_mambairv2_large_notta_post_smoke4/wa0p6_wb0p3_wm0p1_cubic_b0015.csv
wa0p6_wb0p3_wm0p1_cubic_b002,0.6,0.3,0.1,cubic,0.02,0.0,1.0,hard,37.59497212703065,0.9987053424119949,0.988278716802597,0.027650962583720684,45.50845968994037,experiments/router_metrics_20260511/hat_hat_mambairv2_large_notta_post_smoke4/wa0p6_wb0p3_wm0p1_cubic_b002.csv
