route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p65_wb0p25_wm0p1_raw,0.65,0.25,0.1,,0.0,0.0,1.0,hard,37.58849936509545,0.9986915588378906,0.9882798492908478,0.027034029364585876,45.50314035797532,experiments/router_metrics_20260511/hat_hatnative1024_mambairv2_large_notta_smoke4/wa0p65_wb0p25_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,37.58847344113897,0.9986909329891205,0.9882791042327881,0.02704177121631801,45.503093705106636,experiments/router_metrics_20260511/hat_hatnative1024_mambairv2_large_notta_smoke4/wa0p6_wb0p3_wm0p1_raw.csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,0.0,0.0,1.0,hard,37.58840829110531,0.9986905157566071,0.9882783144712448,0.02704711491242051,45.5030137847626,experiments/router_metrics_20260511/hat_hatnative1024_mambairv2_large_notta_smoke4/wa0p55_wb0p35_wm0p1_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,37.58583322486432,0.9986809492111206,0.9882720112800598,0.0265237451530993,45.50141545238496,experiments/router_metrics_20260511/hat_hatnative1024_mambairv2_large_notta_smoke4/wa0p6_wb0p35_wm0p05_raw.csv
