route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p975_raw,0.975,,0.0,0.0,1.0,hard,37.57852876405983,0.9986787289381027,0.9882660508155823,0.026341920718550682,45.49444939788251,experiments/router_metrics_20260512/hat_tta_gpsmamba_smoke4/a0p975_raw.csv
a0p99_raw,0.99,,0.0,0.0,1.0,hard,37.5775876038541,0.9986750930547714,0.9882612228393555,0.026122050127014518,45.49391650760741,experiments/router_metrics_20260512/hat_tta_gpsmamba_smoke4/a0p99_raw.csv
a1_raw,1.0,,0.0,0.0,1.0,hard,37.57635613751946,0.9986733794212341,0.9882562756538391,0.025979325640946627,45.49295031407265,experiments/router_metrics_20260512/hat_tta_gpsmamba_smoke4/a1_raw.csv
a0p95_raw,0.95,,0.0,0.0,1.0,hard,37.57746987649343,0.9986834526062012,0.9882660806179047,0.026720808120444417,45.49266113712556,experiments/router_metrics_20260512/hat_tta_gpsmamba_smoke4/a0p95_raw.csv
a0p9_raw,0.9,,0.0,0.0,1.0,hard,37.56512794795972,0.9986898601055145,0.9882337003946304,0.02754455152899027,45.47864540632409,experiments/router_metrics_20260512/hat_tta_gpsmamba_smoke4/a0p9_raw.csv
