source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.0,0.0,0.03,0.5855644052190863,0.5917261314337899,0.5874129230834974,0.4805261875735596,0.1334090913855399,0.19051730335922912
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.1,0.0,0.0,0.5858907859408794,0.5925764056386049,0.587896471850197,0.48113053757697344,0.13388132217566293,0.19069801195291802
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.1,0.25,0.0,0.5859146556319734,0.594087489745765,0.5883665058661108,0.4736507690977305,0.13514471292579272,0.18839177174959332
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.1,0.25,0.03,0.5955443834045303,0.5805371326502103,0.5910422081782343,0.4718732791952789,0.13358410504380713,0.18716020847205073
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.0,0.25,0.03,0.5958381517288271,0.5919424491993612,0.5946694409699873,0.4602346693864092,0.13372366994926332,0.18441577901830897
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.1,0.0,0.03,0.6076275735744052,0.5956305657313774,0.6040284712214968,0.4644662404898554,0.13331202157783673,0.1843004043912515
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.0,0.0,0.0,0.6127532695167787,0.6014331522126183,0.6093572343255306,0.46215387992560863,0.13366980040343723,0.18374761036830023
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.65,area,0.0,0.25,0.0,0.6135980972620199,0.6251713362679302,0.6170700689637929,0.4658875889144838,0.13378579319016923,0.1847957600839436
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.0,0.25,0.03,0.631598030387755,0.6352508111050905,0.6326938646029556,0.48018335131928325,0.1539865418585349,0.187140709371306
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.0,0.0,0.03,0.630561343925626,0.6390199644957348,0.6330989300966586,0.5013147332938388,0.15366690024375199,0.19336855312576517
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.1,0.0,0.0,0.6311038459950779,0.640673910351541,0.6339748653020167,0.502033265423961,0.15428976231702196,0.19357819709694013
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.1,0.25,0.0,0.6317253108531353,0.6432426275186081,0.6351805058527771,0.49427455465774983,0.15575315158259326,0.19123280054191127
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.1,0.25,0.03,0.6402180639393028,0.6264571730099607,0.6360897966605001,0.4922831360017881,0.15389265896356288,0.18995677906787023
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.1,0.0,0.03,0.64551433875862,0.6401320941388985,0.6438996653727035,0.48441164614632726,0.15356563285860597,0.18704423669259995
lsdir_540_screened_2048,external_data/LSDIR_540_screened_2048,128,1.0,0.5,area,0.0,0.0,0.0,0.6489406104355503,0.6425064960807451,0.6470103761291087,0.4820764062460512,0.15393901296695756,0.18648578017018735
