source,recipe,static_score,model_family,model_variant,weights,out_dir,initial_val,final_val,best_val,delta,train_loss,promoted_or_closed
sama_california_selected_top1024,official_cubic_s05_j0_n0_g003,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_sama_california_selected_top1024_cubic05_g003_probe_p48_avg,43.082370097652834,43.02129526843101,43.082370097652834,-0.06107482922182328,0.010641731264286136,closed
sama_california_selected_top1024,official_cubic_s05_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_sama_california_selected_top1024_cubic05_sj01_probe_p48_avg,43.082185970370716,42.99997345451164,43.082185970370716,-0.08221251585907652,0.008740718638136968,closed
jod_cam_front_selected_top1024,official_area_s05_j01_n025_g003,0.42979383558288387,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_jod_cam_front_selected_top1024_area05_sj01_n025_g003_probe_p48_avg,43.082185970370716,43.076874797783724,43.082185970370716,-0.005311172586992541,0.018055277786515944,closed
jod_cam_front_selected_top1024,official_area_s065_j01_n025_g003,0.43118477428222535,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_jod_cam_front_selected_top1024_area065_sj01_n025_g003_probe_p48_avg,43.0821859706734,43.03490904546806,43.0821859706734,-0.047276925205338216,0.0182600957584782,closed
a2d2_preview_frontcenter_selected_top140,official_cubic_s05_j01_n0_g0,0.43983628210569825,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_a2d2_preview_frontcenter_selected_top140_cubic05_sj01_probe_p48_avg,43.082185970370716,42.975195244495154,43.082185970370716,-0.10699072587556202,0.016109587463233765,closed
argoverse2_frontcenter_pilot320_selected_top320,official_cubic_s05_j01_n0_g0,0.3397794300524435,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_argoverse2_frontcenter_pilot320_selected_top320_cubic05_sj01_probe_p48_avg,43.082182210954194,43.034832687561625,43.082182210954194,-0.047349523392568926,0.012118358553834696,closed
argoverse2_frontcenter_pilot320_selected_top320,official_cubic_s05_j0_n0_g003,0.34201804638056815,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_argoverse2_frontcenter_pilot320_selected_top320_cubic05_g003_probe_p48_avg,43.08261156463346,43.02668891156541,43.08261156463346,-0.055922653068051886,0.01346068343832485,closed
official_train,official_only_micro_initgate_redo,,pft,pft,external_models/PFT-SR/experiments/pretrained_models/001_PFT_SRx2_scratch.pth,checkpoints_pft_official_probe_p48_avg,42.53617466424899,42.53617466424899,42.53617466424899,0.0,,closed
official_train,official_only_p96_lr3e7_limit512,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_official_probe_lr3e7_p96_limit512_avg,43.0821859706734,43.09006187044212,43.09006187044212,0.007875899768720274,0.011894012953689526,archived
official_train,official_only_p96_cont_limit1024_lr2e7,,hat,l,checkpoints_hat_l_official_probe_lr3e7_p96_limit512_avg/best_x2.pth,checkpoints_hat_l_official_p96_cont_limit1024_lr2e7_avg,43.09006187002302,43.09124117782406,43.09124117782406,0.001179307801038476,0.012320905484557443,archived
native_io_hatbest,hat_l_native_io_official_probe40_limit512_p96_lr2e7_e1,,hat,l,checkpoints_hat_l_official_p96_cont_limit1680_lr15e7_full120clean_avg/best_x2.pth,checkpoints_hat_l_nativeio_official_probe40_limit512_p96_lr2e7_e1_avg,43.08024626631623,43.09142015053992,43.09142015053992,0.01117388422368748,0.012091276186765754,archived
native_io_clean,hat_l_native_io_official_full120clean_limit1024_p96_lr2e7_e1,,hat,l,checkpoints_hat_l_official_p96_cont_limit1680_lr15e7_full120clean_avg/best_x2.pth,checkpoints_hat_l_nativeio_official_cont_limit1024_lr2e7_full120clean_avg,41.62143473185791,41.62969183231542,41.62969183231542,0.008257100457512934,0.01220134089635394,closed
