route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p55_raw,0.55,,0.0,0.0,1.0,hard,35.85456286758916,0.9984883293509483,0.9838777221739292,0.03546741283207666,43.742313462378554,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p55_raw.csv
a0p6_raw,0.6,,0.0,0.0,1.0,hard,35.85338904622114,0.9984875991940498,0.9838706627488136,0.03544393746415153,43.74116809195476,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p6_raw.csv
a0p5_raw,0.5,,0.0,0.0,1.0,hard,35.85271649265241,0.9984881840646267,0.9838740490376949,0.03548535057052504,43.74042299397451,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p5_raw.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,35.84920732874488,0.9984858632087708,0.9838529638946056,0.03541870252229273,43.73699103074213,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p65_raw.csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,35.84203402101865,0.9984833933413029,0.9838245734572411,0.035388469812460244,43.72980658835603,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p7_raw.csv
a0p75_raw,0.75,,0.0,0.0,1.0,hard,35.83189770940774,0.9984799362719059,0.9837854839861393,0.035355053696548566,43.71963818761836,experiments/router_metrics_20260512/hat_sstxlarge_dflip_ft128_tta_smoke16/a0p75_raw.csv
