route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,35.33581210464658,0.9981378898024559,0.9803320005536079,0.038821064052172005,43.20766131646419,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_probe40/wa0p55_wb0p35_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,blend,0.0,35.33569763382083,0.9981373876333237,0.9803333848714828,0.038817540614400056,43.20755364813493,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_probe40/wa0p6_wb0p3_wm0p1_raw.csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,blend,0.0,35.33331664292104,0.998135682940483,0.9803337693214417,0.03869430888444185,43.20540966143793,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_probe40/wa0p55_wb0p375_wm0p075_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,blend,0.0,35.33329200142562,0.9981355249881745,0.9803345188498497,0.03869137787260115,43.20539143330916,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_probe40/wa0p575_wb0p35_wm0p075_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,35.329807065867065,0.9981327280402184,0.9803324580192566,0.03856530797784217,43.202137734191204,experiments/router_metrics_20260512/hat_hat_mambairv2_ft512_probe40/wa0p6_wb0p35_wm0p05_raw.csv
