route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_mgrayg_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,blend,0.0,g,1.0,1.0,0.0,37.5999198603141,0.9987006187438965,0.9882859885692596,0.026704616378992796,45.515286317158015,experiments/router_metrics_20260512/hat_hat_mambairv2_mgrayg_fixedsmoke4/wa0p55_wb0p375_wm0p075_mgrayg_raw.csv
wa0p575_wb0p35_wm0p075_mgrayg_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,blend,0.0,g,1.0,1.0,0.0,37.59947368760386,0.9987003356218338,0.9882860332727432,0.026708466233685613,45.51483083541298,experiments/router_metrics_20260512/hat_hat_mambairv2_mgrayg_fixedsmoke4/wa0p575_wb0p35_wm0p075_mgrayg_raw.csv
wa0p6_wb0p35_wm0p05_mgrayg_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,g,1.0,1.0,0.0,37.59797805566498,0.9986982345581055,0.9882809668779373,0.026457312516868114,45.51381477173575,experiments/router_metrics_20260512/hat_hat_mambairv2_mgrayg_fixedsmoke4/wa0p6_wb0p35_wm0p05_mgrayg_raw.csv
wa0p6_wb0p3_wm0p1_mgrayg_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,blend,0.0,g,1.0,1.0,0.0,37.59842285472888,0.9987011402845383,0.988287478685379,0.026970224687829614,45.51326420443121,experiments/router_metrics_20260512/hat_hat_mambairv2_mgrayg_fixedsmoke4/wa0p6_wb0p3_wm0p1_mgrayg_raw.csv
wa0p65_wb0p3_wm0p05_mgrayg_raw,0.65,0.3,0.05,,0.0,0.0,1.0,hard,blend,0.0,g,1.0,1.0,0.0,37.59682721663414,0.9986973255872726,0.9882809221744537,0.026457381900399923,45.51265825070588,experiments/router_metrics_20260512/hat_hat_mambairv2_mgrayg_fixedsmoke4/wa0p65_wb0p3_wm0p05_mgrayg_raw.csv
