route,weight_cur,weight_prev,weight_ssttta,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p375_wprev0p3_wssttta0p325_raw,0.375,0.3,0.325,,0.0,0.0,1.0,hard,33.97708956677621,0.9980028520027796,0.9774539917707443,0.045708162611117584,41.82859833711214,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p375_wprev0p3_wssttta0p325_raw.csv
wcur0p425_wprev0p25_wssttta0p325_raw,0.425,0.25,0.325,,0.0,0.0,1.0,hard,33.97707406835154,0.9980027263363203,0.9774548451105753,0.045706385165976825,41.82858734625866,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p425_wprev0p25_wssttta0p325_raw.csv
wcur0p35_wprev0p325_wssttta0p325_raw,0.35,0.325,0.325,,0.0,0.0,1.0,hard,33.977056546742446,0.9980027417341868,0.9774534975488981,0.04570827928206806,41.828563433681225,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p35_wprev0p325_wssttta0p325_raw.csv
wcur0p45_wprev0p225_wssttta0p325_raw,0.45,0.225,0.325,,0.0,0.0,1.0,hard,33.97702554748258,0.9980025971929233,0.9774552072087924,0.04570520353348305,41.82854113799074,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p45_wprev0p225_wssttta0p325_raw.csv
wcur0p325_wprev0p35_wssttta0p325_raw,0.325,0.35,0.325,,0.0,0.0,1.0,hard,33.97699637065186,0.9980027347803115,0.9774529695510864,0.045708838346763515,41.828501041742385,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p325_wprev0p35_wssttta0p325_raw.csv
wcur0p475_wprev0p2_wssttta0p325_raw,0.475,0.2,0.325,,0.0,0.0,1.0,hard,33.976949827322706,0.9980023716886838,0.9774554957946141,0.04570387307806716,41.8284673028879,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p475_wprev0p2_wssttta0p325_raw.csv
wcur0p4_wprev0p3_wssttta0p3_raw,0.4,0.3,0.3,,0.0,0.0,1.0,hard,33.97267312357868,0.9980010802547137,0.9774264951546987,0.04569373770500533,41.82414512000635,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p4_wprev0p3_wssttta0p3_raw.csv
wcur0p425_wprev0p275_wssttta0p3_raw,0.425,0.275,0.3,,0.0,0.0,1.0,hard,33.972671444807126,0.9980009863773982,0.977426944176356,0.04569329361450703,41.82414466419521,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p425_wprev0p275_wssttta0p3_raw.csv
wcur0p45_wprev0p25_wssttta0p3_raw,0.45,0.25,0.3,,0.0,0.0,1.0,hard,33.97264260578901,0.9980008731285731,0.977427355448405,0.04569245970148283,41.8241176360543,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p45_wprev0p25_wssttta0p3_raw.csv
wcur0p375_wprev0p325_wssttta0p3_raw,0.375,0.325,0.3,,0.0,0.0,1.0,hard,33.972647718639166,0.9980010519425074,0.9774260088801384,0.04569485775427893,41.82411633254593,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p375_wprev0p325_wssttta0p3_raw.csv
wcur0p475_wprev0p225_wssttta0p3_raw,0.475,0.225,0.3,,0.0,0.0,1.0,hard,33.97258661845936,0.9980006967981656,0.9774276981751124,0.045690922911065475,41.82406434977644,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p475_wprev0p225_wssttta0p3_raw.csv
