route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p45_wb0p4_wm0p15_raw,0.45,0.4,0.15,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60798071077825,0.9986906200647354,0.9882760643959045,0.0267795966938138,45.523117366570844,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_tta_smoke4/wa0p45_wb0p4_wm0p15_raw.csv
wa0p5_wb0p35_wm0p15_raw,0.5,0.35,0.15,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.607548644306135,0.99869005382061,0.988276332616806,0.02678419044241309,45.52267325157858,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_tta_smoke4/wa0p5_wb0p35_wm0p15_raw.csv
wa0p55_wb0p3_wm0p15_raw,0.55,0.3,0.15,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.60688660460208,0.9986880570650101,0.9882764518260956,0.026787519454956055,45.52199281173442,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_tta_smoke4/wa0p55_wb0p3_wm0p15_raw.csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.605233288131764,0.998692587018013,0.9882791340351105,0.02650535642169416,45.520936365466675,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_tta_smoke4/wa0p55_wb0p35_wm0p1_raw.csv
wa0p5_wb0p3_wm0p2_raw,0.5,0.3,0.2,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,37.605968530095325,0.9986834973096848,0.9882653057575226,0.027070650598034263,45.52045882427241,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_tta_smoke4/wa0p5_wb0p3_wm0p2_raw.csv
