route,weight_cur,weight_prev,weight_ssttta,weight_sstraw,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p3_wprev0p175_wssttta0p5_wsstraw0p025_raw,0.3,0.175,0.5,0.025,,0.0,0.0,1.0,hard,33.98814600639062,0.9980084200700124,0.9775614271561305,0.04577617778801747,41.83976702554692,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p175_wssttta0p5_wsstraw0p025_raw.csv
wcur0p35_wprev0p225_wssttta0p425_wsstraw0_raw,0.35,0.225,0.425,0.0,,0.0,0.0,1.0,hard,33.98812461462835,0.9980075220266978,0.9775338649749756,0.04575152354664169,41.839734429645205,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p225_wssttta0p425_wsstraw0_raw.csv
wcur0p325_wprev0p15_wssttta0p5_wsstraw0p025_raw,0.325,0.15,0.5,0.025,,0.0,0.0,1.0,hard,33.98807444749109,0.9980082646012306,0.9775616188844045,0.045775267137408565,41.839696738592465,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p15_wssttta0p5_wsstraw0p025_raw.csv
wcur0p375_wprev0p2_wssttta0p425_wsstraw0_raw,0.375,0.2,0.425,0.0,,0.0,0.0,1.0,hard,33.98807847360143,0.9980074435472488,0.9775341585278511,0.045750608333037235,41.83969023527456,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p2_wssttta0p425_wsstraw0_raw.csv
wcur0p3_wprev0p225_wssttta0p4_wsstraw0p075_raw,0.3,0.225,0.4,0.075,,0.0,0.0,1.0,hard,33.98800509415058,0.998007507622242,0.9775468851129214,0.04575121023566074,41.83964148963855,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p225_wssttta0p4_wsstraw0p075_raw.csv
wcur0p325_wprev0p2_wssttta0p4_wsstraw0p075_raw,0.325,0.2,0.4,0.075,,0.0,0.0,1.0,hard,33.987972836411764,0.9980073740084966,0.9775471657514572,0.0457507950704894,41.83960982182468,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p2_wssttta0p4_wsstraw0p075_raw.csv
wcur0p35_wprev0p175_wssttta0p4_wsstraw0p075_raw,0.35,0.175,0.4,0.075,,0.0,0.0,1.0,hard,33.9879132133824,0.9980072870850563,0.9775474265217781,0.04575069885177072,41.839550391232756,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p175_wssttta0p4_wsstraw0p075_raw.csv
wcur0p35_wprev0p225_wssttta0p4_wsstraw0p025_raw,0.35,0.225,0.4,0.025,,0.0,0.0,1.0,hard,33.987893695416204,0.9980074375867843,0.9775325884421666,0.04574982020518898,41.83950385741087,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p225_wssttta0p4_wsstraw0p025_raw.csv
wcur0p375_wprev0p15_wssttta0p4_wsstraw0p075_raw,0.375,0.15,0.4,0.075,,0.0,0.0,1.0,hard,33.98782616443753,0.9980071365833283,0.977547604839007,0.04574915300084589,41.83946588761383,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p15_wssttta0p4_wsstraw0p075_raw.csv
wcur0p375_wprev0p2_wssttta0p4_wsstraw0p025_raw,0.375,0.2,0.4,0.025,,0.0,0.0,1.0,hard,33.98784722847747,0.9980072970191638,0.9775328904390335,0.04574891125618403,41.839458968958155,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p2_wssttta0p4_wsstraw0p025_raw.csv
wcur0p275_wprev0p225_wssttta0p425_wsstraw0p075_raw,0.275,0.225,0.425,0.075,,0.0,0.0,1.0,hard,33.987735988753755,0.9980076789855957,0.9775523910919826,0.045757505505753214,41.839371833839785,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p225_wssttta0p425_wsstraw0p075_raw.csv
wcur0p3_wprev0p2_wssttta0p425_wsstraw0p075_raw,0.3,0.2,0.425,0.075,,0.0,0.0,1.0,hard,33.98771113681751,0.9980076397458713,0.9775526757041614,0.04575720252275157,41.83934792165556,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p2_wssttta0p425_wsstraw0p075_raw.csv
wcur0p325_wprev0p175_wssttta0p425_wsstraw0p075_raw,0.325,0.175,0.425,0.075,,0.0,0.0,1.0,hard,33.98765892013389,0.9980075101057688,0.9775529171029727,0.045756319841408793,41.83929717529163,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p175_wssttta0p425_wsstraw0p075_raw.csv
wcur0p275_wprev0p2_wssttta0p475_wsstraw0p05_raw,0.275,0.2,0.475,0.05,,0.0,0.0,1.0,hard,33.987633843379065,0.9980081419150034,0.9775587235887845,0.04577122733947666,41.839257687367706,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p2_wssttta0p475_wsstraw0p05_raw.csv
wcur0p325_wprev0p225_wssttta0p375_wsstraw0p075_raw,0.325,0.225,0.375,0.075,,0.0,0.0,1.0,hard,33.987598324222255,0.9980071276426316,0.9775382320086161,0.045744338652972755,41.83922887678933,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p225_wssttta0p375_wsstraw0p075_raw.csv
wcur0p35_wprev0p15_wssttta0p425_wsstraw0p075_raw,0.35,0.15,0.425,0.075,,0.0,0.0,1.0,hard,33.987579248832894,0.9980073134104411,0.9775531098246575,0.04575601141162527,41.839217326121606,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p15_wssttta0p425_wsstraw0p075_raw.csv
wcur0p3_wprev0p175_wssttta0p475_wsstraw0p05_raw,0.3,0.175,0.475,0.05,,0.0,0.0,1.0,hard,33.987589322323586,0.9980080569783847,0.9775589714447658,0.04577094080595998,41.83921372547151,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p175_wssttta0p475_wsstraw0p05_raw.csv
wcur0p35_wprev0p2_wssttta0p375_wsstraw0p075_raw,0.35,0.2,0.375,0.075,,0.0,0.0,1.0,hard,33.98755852970465,0.9980070074399312,0.9775385096669197,0.04574336533793636,41.8391908630022,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p2_wssttta0p375_wsstraw0p075_raw.csv
wcur0p325_wprev0p15_wssttta0p475_wsstraw0p05_raw,0.325,0.15,0.475,0.05,,0.0,0.0,1.0,hard,33.98751745653061,0.9980079104502996,0.9775591656565666,0.04577002069127047,41.839143209163,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p15_wssttta0p475_wsstraw0p05_raw.csv
wcur0p375_wprev0p175_wssttta0p375_wsstraw0p075_raw,0.375,0.175,0.375,0.075,,0.0,0.0,1.0,hard,33.987491557405335,0.9980068773031234,0.9775387654701869,0.0457426101352515,41.839125131893944,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p175_wssttta0p375_wsstraw0p075_raw.csv
wcur0p35_wprev0p225_wssttta0p375_wsstraw0p05_raw,0.35,0.225,0.375,0.05,,0.0,0.0,1.0,hard,33.98735773666485,0.9980070720116297,0.9775301178296407,0.04574440306654045,41.83897159826083,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p225_wssttta0p375_wsstraw0p05_raw.csv
wcur0p375_wprev0p2_wssttta0p375_wsstraw0p05_raw,0.375,0.2,0.375,0.05,,0.0,0.0,1.0,hard,33.98731091027951,0.9980069508155187,0.9775304188330968,0.04574407699741035,41.838925298843996,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p2_wssttta0p375_wsstraw0p05_raw.csv
wcur0p3_wprev0p225_wssttta0p375_wsstraw0p1_raw,0.3,0.225,0.375,0.1,,0.0,0.0,1.0,hard,33.986848626814144,0.9980067183574041,0.9775419577956199,0.04573879051555802,41.838495271518696,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p225_wssttta0p375_wsstraw0p1_raw.csv
