route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p675_raw,0.675,,0.0,0.0,1.0,hard,33.94907914727729,0.9979763666788737,0.9773465380072593,0.04538858516364901,41.80085325303775,experiments/hat_sstxlarge_dflip_full120_20260512/a0p675_raw.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,33.948691158114656,0.997975621620814,0.9773538753390312,0.045355784824641886,41.80054106886831,experiments/hat_sstxlarge_dflip_full120_20260512/a0p65_raw.csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,33.94849324548183,0.9979765911897024,0.9773348699013392,0.04541767762857489,41.80018717716557,experiments/hat_sstxlarge_dflip_full120_20260512/a0p7_raw.csv
a0p625_raw,0.625,,0.0,0.0,1.0,hard,33.947328293763,0.9979744876424471,0.9773568858702978,0.04531906132760923,41.799250868703055,experiments/hat_sstxlarge_dflip_full120_20260512/a0p625_raw.csv
a0p6_raw,0.6,,0.0,0.0,1.0,hard,33.94499076567372,0.9979728877544403,0.9773555601636569,0.04527791186555987,41.796983388796555,experiments/hat_sstxlarge_dflip_full120_20260512/a0p6_raw.csv
